BODY: Zombie_Berserker facing 0 frame 0: x 43, y 80
EXPLODE: Banshee_Provocateur facing 3 frame 2: x 60, y 41
EXPLODE: Banshee_Provocateur facing 3 frame 3: x 62, y 43
EXPLODE: Banshee_Provocateur facing 3 frame 4: x 64, y 32
EXPLODE: Banshee_Provocateur facing 3 frame 5: x 62, y 7
EXPLODE: Banshee_Provocateur facing 3 frame 6: x 60, y -18
EXPLODE: Banshee_Provocateur facing 3 frame 7: x 58, y -43
EXPLODE: Banshee_Provocateur facing 3 frame 8: x 56, y -68
EXPLODE: Banshee_Provocateur facing 3 frame 9: x 60, y -90
EXPLODE: Banshee_Provocateur facing 3 frame 10: x 60, y -90
EXPLODE: Banshee_Provocateur facing 3 frame 11: x 60, y -90
BODY: Banshee_Noble facing 0 frame 0: x 51, y 77
BODY: Banshee_Noble facing 0 frame 1: x 51, y 78
BODY: Banshee_Noble facing 0 frame 2: x 51, y 79
BODY: Banshee_Noble facing 0 frame 3: x 51, y 78
BODY: Banshee_Noble facing 1 frame 0: x 34, y 80
BODY: Banshee_Noble facing 1 frame 1: x 34, y 81
BODY: Banshee_Noble facing 1 frame 2: x 34, y 82
BODY: Banshee_Noble facing 1 frame 3: x 34, y 81
BODY: Banshee_Noble facing 2 frame 0: x 39, y 88
BODY: Banshee_Noble facing 2 frame 1: x 39, y 89
BODY: Banshee_Noble facing 2 frame 2: x 39, y 90
BODY: Banshee_Noble facing 2 frame 3: x 39, y 89
BODY: Banshee_Noble facing 3 frame 0: x 56, y 86
BODY: Banshee_Noble facing 3 frame 1: x 56, y 87
BODY: Banshee_Noble facing 3 frame 2: x 56, y 88
BODY: Banshee_Noble facing 3 frame 3: x 56, y 87
EXPLODE: Banshee_Noble facing 0 frame 0: x 51, y 0
EXPLODE: Banshee_Noble facing 0 frame 1: x 53, y 19
EXPLODE: Banshee_Noble facing 0 frame 2: x 55, y 32
EXPLODE: Banshee_Noble facing 0 frame 3: x 57, y 35
EXPLODE: Banshee_Noble facing 0 frame 4: x 59, y 24
EXPLODE: Banshee_Noble facing 0 frame 5: x 57, y -1
EXPLODE: Banshee_Noble facing 0 frame 6: x 55, y -26
EXPLODE: Banshee_Noble facing 0 frame 7: x 53, y -51
EXPLODE: Banshee_Noble facing 0 frame 8: x 51, y -76
EXPLODE: Banshee_Noble facing 0 frame 9: x 55, y -98
EXPLODE: Banshee_Noble facing 0 frame 10: x 55, y -98
EXPLODE: Banshee_Noble facing 0 frame 11: x 55, y -98
EXPLODE: Banshee_Noble facing 1 frame 0: x 34, y 3
EXPLODE: Banshee_Noble facing 1 frame 1: x 36, y 22
EXPLODE: Banshee_Noble facing 1 frame 2: x 38, y 35
EXPLODE: Banshee_Noble facing 1 frame 3: x 40, y 37
EXPLODE: Banshee_Noble facing 1 frame 4: x 42, y 26
EXPLODE: Banshee_Noble facing 1 frame 5: x 40, y 1
EXPLODE: Banshee_Noble facing 1 frame 6: x 38, y -24
EXPLODE: Banshee_Noble facing 1 frame 7: x 36, y -49
EXPLODE: Banshee_Noble facing 1 frame 8: x 34, y -74
EXPLODE: Banshee_Noble facing 1 frame 9: x 38, y -96
EXPLODE: Banshee_Noble facing 1 frame 10: x 38, y -96
EXPLODE: Banshee_Noble facing 1 frame 11: x 38, y -96
EXPLODE: Banshee_Noble facing 2 frame 0: x 39, y 11
EXPLODE: Banshee_Noble facing 2 frame 1: x 41, y 30
EXPLODE: Banshee_Noble facing 2 frame 2: x 43, y 43
EXPLODE: Banshee_Noble facing 2 frame 3: x 45, y 46
EXPLODE: Banshee_Noble facing 2 frame 4: x 47, y 35
EXPLODE: Banshee_Noble facing 2 frame 5: x 45, y 10
EXPLODE: Banshee_Noble facing 2 frame 6: x 43, y -15
EXPLODE: Banshee_Noble facing 2 frame 7: x 41, y -40
EXPLODE: Banshee_Noble facing 2 frame 8: x 39, y -65
EXPLODE: Banshee_Noble facing 2 frame 9: x 43, y -87
EXPLODE: Banshee_Noble facing 2 frame 10: x 43, y -87
EXPLODE: Banshee_Noble facing 2 frame 11: x 43, y -87
EXPLODE: Banshee_Noble facing 3 frame 0: x 56, y 9
EXPLODE: Banshee_Noble facing 3 frame 1: x 58, y 28
EXPLODE: Banshee_Noble facing 3 frame 2: x 60, y 41
EXPLODE: Banshee_Noble facing 3 frame 3: x 62, y 43
EXPLODE: Banshee_Noble facing 3 frame 4: x 64, y 32
EXPLODE: Banshee_Noble facing 3 frame 5: x 62, y 7
EXPLODE: Banshee_Noble facing 3 frame 6: x 60, y -18
EXPLODE: Banshee_Noble facing 3 frame 7: x 58, y -43
EXPLODE: Banshee_Noble facing 3 frame 8: x 56, y -68
EXPLODE: Banshee_Noble facing 3 frame 9: x 60, y -90
EXPLODE: Banshee_Noble facing 3 frame 10: x 60, y -90
EXPLODE: Banshee_Noble facing 3 frame 11: x 60, y -90
BODY: Banshee_Woodsman facing 0 frame 0: x 51, y 77
BODY: Banshee_Woodsman facing 0 frame 1: x 51, y 78
BODY: Banshee_Woodsman facing 0 frame 2: x 51, y 79
BODY: Banshee_Woodsman facing 0 frame 3: x 51, y 78
BODY: Banshee_Woodsman facing 1 frame 0: x 34, y 80
BODY: Banshee_Woodsman facing 1 frame 1: x 34, y 81
BODY: Banshee_Woodsman facing 1 frame 2: x 34, y 82
BODY: Banshee_Woodsman facing 1 frame 3: x 34, y 81
BODY: Banshee_Woodsman facing 2 frame 0: x 39, y 88
BODY: Banshee_Woodsman facing 2 frame 1: x 39, y 89
BODY: Banshee_Woodsman facing 2 frame 2: x 39, y 90
BODY: Banshee_Woodsman facing 2 frame 3: x 39, y 89
BODY: Banshee_Woodsman facing 3 frame 0: x 56, y 86
BODY: Banshee_Woodsman facing 3 frame 1: x 56, y 87
BODY: Banshee_Woodsman facing 3 frame 2: x 56, y 88
BODY: Banshee_Woodsman facing 3 frame 3: x 56, y 87
EXPLODE: Banshee_Woodsman facing 0 frame 0: x 51, y 0
EXPLODE: Banshee_Woodsman facing 0 frame 1: x 53, y 19
EXPLODE: Banshee_Woodsman facing 0 frame 2: x 55, y 32
EXPLODE: Banshee_Woodsman facing 0 frame 3: x 57, y 35
EXPLODE: Banshee_Woodsman facing 0 frame 4: x 59, y 24
EXPLODE: Banshee_Woodsman facing 0 frame 5: x 57, y -1
EXPLODE: Banshee_Woodsman facing 0 frame 6: x 55, y -26
EXPLODE: Banshee_Woodsman facing 0 frame 7: x 53, y -51
EXPLODE: Banshee_Woodsman facing 0 frame 8: x 51, y -76
EXPLODE: Banshee_Woodsman facing 0 frame 9: x 55, y -98
EXPLODE: Banshee_Woodsman facing 0 frame 10: x 55, y -98
EXPLODE: Banshee_Woodsman facing 0 frame 11: x 55, y -98
EXPLODE: Banshee_Woodsman facing 1 frame 0: x 34, y 3
EXPLODE: Banshee_Woodsman facing 1 frame 1: x 36, y 22
EXPLODE: Banshee_Woodsman facing 1 frame 2: x 38, y 35
EXPLODE: Banshee_Woodsman facing 1 frame 3: x 40, y 37
EXPLODE: Banshee_Woodsman facing 1 frame 4: x 42, y 26
EXPLODE: Banshee_Woodsman facing 1 frame 5: x 40, y 1
EXPLODE: Banshee_Woodsman facing 1 frame 6: x 38, y -24
EXPLODE: Banshee_Woodsman facing 1 frame 7: x 36, y -49
EXPLODE: Banshee_Woodsman facing 1 frame 8: x 34, y -74
EXPLODE: Banshee_Woodsman facing 1 frame 9: x 38, y -96
EXPLODE: Banshee_Woodsman facing 1 frame 10: x 38, y -96
EXPLODE: Banshee_Woodsman facing 1 frame 11: x 38, y -96
EXPLODE: Banshee_Woodsman facing 2 frame 0: x 39, y 11
EXPLODE: Banshee_Woodsman facing 2 frame 1: x 41, y 30
EXPLODE: Banshee_Woodsman facing 2 frame 2: x 43, y 43
EXPLODE: Banshee_Woodsman facing 2 frame 3: x 45, y 46
EXPLODE: Banshee_Woodsman facing 2 frame 4: x 47, y 35
EXPLODE: Banshee_Woodsman facing 2 frame 5: x 45, y 10
EXPLODE: Banshee_Woodsman facing 2 frame 6: x 43, y -15
EXPLODE: Banshee_Woodsman facing 2 frame 7: x 41, y -40
EXPLODE: Banshee_Woodsman facing 2 frame 8: x 39, y -65
EXPLODE: Banshee_Woodsman facing 2 frame 9: x 43, y -87
EXPLODE: Banshee_Woodsman facing 2 frame 10: x 43, y -87
EXPLODE: Banshee_Woodsman facing 2 frame 11: x 43, y -87
EXPLODE: Banshee_Woodsman facing 3 frame 0: x 56, y 9
EXPLODE: Banshee_Woodsman facing 3 frame 1: x 58, y 28
EXPLODE: Banshee_Woodsman facing 3 frame 2: x 60, y 41
EXPLODE: Banshee_Woodsman facing 3 frame 3: x 62, y 43
EXPLODE: Banshee_Woodsman facing 3 frame 4: x 64, y 32
EXPLODE: Banshee_Woodsman facing 3 frame 5: x 62, y 7
EXPLODE: Banshee_Woodsman facing 3 frame 6: x 60, y -18
EXPLODE: Banshee_Woodsman facing 3 frame 7: x 58, y -43
EXPLODE: Banshee_Woodsman facing 3 frame 8: x 56, y -68
EXPLODE: Banshee_Woodsman facing 3 frame 9: x 60, y -90
EXPLODE: Banshee_Woodsman facing 3 frame 10: x 60, y -90
EXPLODE: Banshee_Woodsman facing 3 frame 11: x 60, y -90
BODY: Banshee_Sheriff facing 0 frame 0: x 51, y 77
BODY: Banshee_Sheriff facing 0 frame 1: x 51, y 78
BODY: Banshee_Sheriff facing 0 frame 2: x 51, y 79
BODY: Banshee_Sheriff facing 0 frame 3: x 51, y 78
BODY: Banshee_Sheriff facing 1 frame 0: x 34, y 80
BODY: Banshee_Sheriff facing 1 frame 1: x 34, y 81
BODY: Banshee_Sheriff facing 1 frame 2: x 34, y 82
BODY: Banshee_Sheriff facing 1 frame 3: x 34, y 81
BODY: Banshee_Sheriff facing 2 frame 0: x 39, y 88
BODY: Banshee_Sheriff facing 2 frame 1: x 39, y 89
BODY: Banshee_Sheriff facing 2 frame 2: x 39, y 90
BODY: Banshee_Sheriff facing 2 frame 3: x 39, y 89
BODY: Banshee_Sheriff facing 3 frame 0: x 56, y 86
BODY: Banshee_Sheriff facing 3 frame 1: x 56, y 87
BODY: Banshee_Sheriff facing 3 frame 2: x 56, y 88
BODY: Banshee_Sheriff facing 3 frame 3: x 56, y 87
EXPLODE: Banshee_Sheriff facing 0 frame 0: x 51, y 0
EXPLODE: Banshee_Sheriff facing 0 frame 1: x 53, y 19
EXPLODE: Banshee_Sheriff facing 0 frame 2: x 55, y 32
EXPLODE: Banshee_Sheriff facing 0 frame 3: x 57, y 35
EXPLODE: Banshee_Sheriff facing 0 frame 4: x 59, y 24
EXPLODE: Banshee_Sheriff facing 0 frame 5: x 57, y -1
EXPLODE: Banshee_Sheriff facing 0 frame 6: x 55, y -26
EXPLODE: Banshee_Sheriff facing 0 frame 7: x 53, y -51
EXPLODE: Banshee_Sheriff facing 0 frame 8: x 51, y -76
EXPLODE: Banshee_Sheriff facing 0 frame 9: x 55, y -98
EXPLODE: Banshee_Sheriff facing 0 frame 10: x 55, y -98
EXPLODE: Banshee_Sheriff facing 0 frame 11: x 55, y -98
EXPLODE: Banshee_Sheriff facing 1 frame 0: x 34, y 3
EXPLODE: Banshee_Sheriff facing 1 frame 1: x 36, y 22
EXPLODE: Banshee_Sheriff facing 1 frame 2: x 38, y 35
EXPLODE: Banshee_Sheriff facing 1 frame 3: x 40, y 37
EXPLODE: Banshee_Sheriff facing 1 frame 4: x 42, y 26
EXPLODE: Banshee_Sheriff facing 1 frame 5: x 40, y 1
EXPLODE: Banshee_Sheriff facing 1 frame 6: x 38, y -24
EXPLODE: Banshee_Sheriff facing 1 frame 7: x 36, y -49
EXPLODE: Banshee_Sheriff facing 1 frame 8: x 34, y -74
EXPLODE: Banshee_Sheriff facing 1 frame 9: x 38, y -96
EXPLODE: Banshee_Sheriff facing 1 frame 10: x 38, y -96
EXPLODE: Banshee_Sheriff facing 1 frame 11: x 38, y -96
EXPLODE: Banshee_Sheriff facing 2 frame 0: x 39, y 11
EXPLODE: Banshee_Sheriff facing 2 frame 1: x 41, y 30
EXPLODE: Banshee_Sheriff facing 2 frame 2: x 43, y 43
EXPLODE: Banshee_Sheriff facing 2 frame 3: x 45, y 46
EXPLODE: Banshee_Sheriff facing 2 frame 4: x 47, y 35
EXPLODE: Banshee_Sheriff facing 2 frame 5: x 45, y 10
EXPLODE: Banshee_Sheriff facing 2 frame 6: x 43, y -15
EXPLODE: Banshee_Sheriff facing 2 frame 7: x 41, y -40
EXPLODE: Banshee_Sheriff facing 2 frame 8: x 39, y -65
EXPLODE: Banshee_Sheriff facing 2 frame 9: x 43, y -87
EXPLODE: Banshee_Sheriff facing 2 frame 10: x 43, y -87
EXPLODE: Banshee_Sheriff facing 2 frame 11: x 43, y -87
EXPLODE: Banshee_Sheriff facing 3 frame 0: x 56, y 9
EXPLODE: Banshee_Sheriff facing 3 frame 1: x 58, y 28
EXPLODE: Banshee_Sheriff facing 3 frame 2: x 60, y 41
EXPLODE: Banshee_Sheriff facing 3 frame 3: x 62, y 43
EXPLODE: Banshee_Sheriff facing 3 frame 4: x 64, y 32
EXPLODE: Banshee_Sheriff facing 3 frame 5: x 62, y 7
EXPLODE: Banshee_Sheriff facing 3 frame 6: x 60, y -18
EXPLODE: Banshee_Sheriff facing 3 frame 7: x 58, y -43
EXPLODE: Banshee_Sheriff facing 3 frame 8: x 56, y -68
EXPLODE: Banshee_Sheriff facing 3 frame 9: x 60, y -90
EXPLODE: Banshee_Sheriff facing 3 frame 10: x 60, y -90
EXPLODE: Banshee_Sheriff facing 3 frame 11: x 60, y -90
BODY: Banshee_Thief facing 0 frame 0: x 51, y 77
BODY: Banshee_Thief facing 0 frame 1: x 51, y 78
BODY: Banshee_Thief facing 0 frame 2: x 51, y 79
BODY: Banshee_Thief facing 0 frame 3: x 51, y 78
BODY: Banshee_Thief facing 1 frame 0: x 34, y 80
BODY: Banshee_Thief facing 1 frame 1: x 34, y 81
BODY: Banshee_Thief facing 1 frame 2: x 34, y 82
BODY: Banshee_Thief facing 1 frame 3: x 34, y 81
BODY: Banshee_Thief facing 2 frame 0: x 39, y 88
BODY: Banshee_Thief facing 2 frame 1: x 39, y 89
BODY: Banshee_Thief facing 2 frame 2: x 39, y 90
BODY: Banshee_Thief facing 2 frame 3: x 39, y 89
BODY: Banshee_Thief facing 3 frame 0: x 56, y 86
BODY: Banshee_Thief facing 3 frame 1: x 56, y 87
BODY: Banshee_Thief facing 3 frame 2: x 56, y 88
BODY: Banshee_Thief facing 3 frame 3: x 56, y 87
EXPLODE: Banshee_Thief facing 0 frame 0: x 51, y 0
EXPLODE: Banshee_Thief facing 0 frame 1: x 53, y 19
EXPLODE: Banshee_Thief facing 0 frame 2: x 55, y 32
EXPLODE: Banshee_Thief facing 0 frame 3: x 57, y 35
EXPLODE: Banshee_Thief facing 0 frame 4: x 59, y 24
EXPLODE: Banshee_Thief facing 0 frame 5: x 57, y -1
EXPLODE: Banshee_Thief facing 0 frame 6: x 55, y -26
EXPLODE: Banshee_Thief facing 0 frame 7: x 53, y -51
EXPLODE: Banshee_Thief facing 0 frame 8: x 51, y -76
EXPLODE: Banshee_Thief facing 0 frame 9: x 55, y -98
EXPLODE: Banshee_Thief facing 0 frame 10: x 55, y -98
EXPLODE: Banshee_Thief facing 0 frame 11: x 55, y -98
EXPLODE: Banshee_Thief facing 1 frame 0: x 34, y 3
EXPLODE: Banshee_Thief facing 1 frame 1: x 36, y 22
EXPLODE: Banshee_Thief facing 1 frame 2: x 38, y 35
EXPLODE: Banshee_Thief facing 1 frame 3: x 40, y 37
EXPLODE: Banshee_Thief facing 1 frame 4: x 42, y 26
EXPLODE: Banshee_Thief facing 1 frame 5: x 40, y 1
EXPLODE: Banshee_Thief facing 1 frame 6: x 38, y -24
EXPLODE: Banshee_Thief facing 1 frame 7: x 36, y -49
EXPLODE: Banshee_Thief facing 1 frame 8: x 34, y -74
EXPLODE: Banshee_Thief facing 1 frame 9: x 38, y -96
EXPLODE: Banshee_Thief facing 1 frame 10: x 38, y -96
EXPLODE: Banshee_Thief facing 1 frame 11: x 38, y -96
EXPLODE: Banshee_Thief facing 2 frame 0: x 39, y 11
EXPLODE: Banshee_Thief facing 2 frame 1: x 41, y 30
EXPLODE: Banshee_Thief facing 2 frame 2: x 43, y 43
EXPLODE: Banshee_Thief facing 2 frame 3: x 45, y 46
EXPLODE: Banshee_Thief facing 2 frame 4: x 47, y 35
EXPLODE: Banshee_Thief facing 2 frame 5: x 45, y 10
EXPLODE: Banshee_Thief facing 2 frame 6: x 43, y -15
EXPLODE: Banshee_Thief facing 2 frame 7: x 41, y -40
EXPLODE: Banshee_Thief facing 2 frame 8: x 39, y -65
EXPLODE: Banshee_Thief facing 2 frame 9: x 43, y -87
EXPLODE: Banshee_Thief facing 2 frame 10: x 43, y -87
EXPLODE: Banshee_Thief facing 2 frame 11: x 43, y -87
EXPLODE: Banshee_Thief facing 3 frame 0: x 56, y 9
EXPLODE: Banshee_Thief facing 3 frame 1: x 58, y 28
EXPLODE: Banshee_Thief facing 3 frame 2: x 60, y 41
EXPLODE: Banshee_Thief facing 3 frame 3: x 62, y 43
EXPLODE: Banshee_Thief facing 3 frame 4: x 64, y 32
EXPLODE: Banshee_Thief facing 3 frame 5: x 62, y 7
EXPLODE: Banshee_Thief facing 3 frame 6: x 60, y -18
EXPLODE: Banshee_Thief facing 3 frame 7: x 58, y -43
EXPLODE: Banshee_Thief facing 3 frame 8: x 56, y -68
EXPLODE: Banshee_Thief facing 3 frame 9: x 60, y -90
EXPLODE: Banshee_Thief facing 3 frame 10: x 60, y -90
EXPLODE: Banshee_Thief facing 3 frame 11: x 60, y -90
BODY: Banshee_Merchant facing 0 frame 0: x 51, y 77
BODY: Banshee_Merchant facing 0 frame 1: x 51, y 78
BODY: Banshee_Merchant facing 0 frame 2: x 51, y 79
BODY: Banshee_Merchant facing 0 frame 3: x 51, y 78
BODY: Banshee_Merchant facing 1 frame 0: x 34, y 80
BODY: Banshee_Merchant facing 1 frame 1: x 34, y 81
BODY: Banshee_Merchant facing 1 frame 2: x 34, y 82
BODY: Banshee_Merchant facing 1 frame 3: x 34, y 81
BODY: Banshee_Merchant facing 2 frame 0: x 39, y 88
BODY: Banshee_Merchant facing 2 frame 1: x 39, y 89
BODY: Banshee_Merchant facing 2 frame 2: x 39, y 90
BODY: Banshee_Merchant facing 2 frame 3: x 39, y 89
BODY: Banshee_Merchant facing 3 frame 0: x 56, y 86
BODY: Banshee_Merchant facing 3 frame 1: x 56, y 87
BODY: Banshee_Merchant facing 3 frame 2: x 56, y 88
BODY: Banshee_Merchant facing 3 frame 3: x 56, y 87
EXPLODE: Banshee_Merchant facing 0 frame 0: x 51, y 0
EXPLODE: Banshee_Merchant facing 0 frame 1: x 53, y 19
EXPLODE: Banshee_Merchant facing 0 frame 2: x 55, y 32
EXPLODE: Banshee_Merchant facing 0 frame 3: x 57, y 35
EXPLODE: Banshee_Merchant facing 0 frame 4: x 59, y 24
EXPLODE: Banshee_Merchant facing 0 frame 5: x 57, y -1
EXPLODE: Banshee_Merchant facing 0 frame 6: x 55, y -26
EXPLODE: Banshee_Merchant facing 0 frame 7: x 53, y -51
EXPLODE: Banshee_Merchant facing 0 frame 8: x 51, y -76
EXPLODE: Banshee_Merchant facing 0 frame 9: x 55, y -98
EXPLODE: Banshee_Merchant facing 0 frame 10: x 55, y -98
EXPLODE: Banshee_Merchant facing 0 frame 11: x 55, y -98
EXPLODE: Banshee_Merchant facing 1 frame 0: x 34, y 3
EXPLODE: Banshee_Merchant facing 1 frame 1: x 36, y 22
EXPLODE: Banshee_Merchant facing 1 frame 2: x 38, y 35
EXPLODE: Banshee_Merchant facing 1 frame 3: x 40, y 37
EXPLODE: Banshee_Merchant facing 1 frame 4: x 42, y 26
EXPLODE: Banshee_Merchant facing 1 frame 5: x 40, y 1
EXPLODE: Banshee_Merchant facing 1 frame 6: x 38, y -24
EXPLODE: Banshee_Merchant facing 1 frame 7: x 36, y -49
EXPLODE: Banshee_Merchant facing 1 frame 8: x 34, y -74
EXPLODE: Banshee_Merchant facing 1 frame 9: x 38, y -96
EXPLODE: Banshee_Merchant facing 1 frame 10: x 38, y -96
EXPLODE: Banshee_Merchant facing 1 frame 11: x 38, y -96
EXPLODE: Banshee_Merchant facing 2 frame 0: x 39, y 11
EXPLODE: Banshee_Merchant facing 2 frame 1: x 41, y 30
EXPLODE: Banshee_Merchant facing 2 frame 2: x 43, y 43
EXPLODE: Banshee_Merchant facing 2 frame 3: x 45, y 46
EXPLODE: Banshee_Merchant facing 2 frame 4: x 47, y 35
EXPLODE: Banshee_Merchant facing 2 frame 5: x 45, y 10
EXPLODE: Banshee_Merchant facing 2 frame 6: x 43, y -15
EXPLODE: Banshee_Merchant facing 2 frame 7: x 41, y -40
EXPLODE: Banshee_Merchant facing 2 frame 8: x 39, y -65
EXPLODE: Banshee_Merchant facing 2 frame 9: x 43, y -87
EXPLODE: Banshee_Merchant facing 2 frame 10: x 43, y -87
EXPLODE: Banshee_Merchant facing 2 frame 11: x 43, y -87
EXPLODE: Banshee_Merchant facing 3 frame 0: x 56, y 9
EXPLODE: Banshee_Merchant facing 3 frame 1: x 58, y 28
EXPLODE: Banshee_Merchant facing 3 frame 2: x 60, y 41
EXPLODE: Banshee_Merchant facing 3 frame 3: x 62, y 43
EXPLODE: Banshee_Merchant facing 3 frame 4: x 64, y 32
EXPLODE: Banshee_Merchant facing 3 frame 5: x 62, y 7
EXPLODE: Banshee_Merchant facing 3 frame 6: x 60, y -18
EXPLODE: Banshee_Merchant facing 3 frame 7: x 58, y -43
EXPLODE: Banshee_Merchant facing 3 frame 8: x 56, y -68
EXPLODE: Banshee_Merchant facing 3 frame 9: x 60, y -90
EXPLODE: Banshee_Merchant facing 3 frame 10: x 60, y -90
EXPLODE: Banshee_Merchant facing 3 frame 11: x 60, y -90
BODY: Banshee_Farmer facing 0 frame 0: x 51, y 77
BODY: Banshee_Farmer facing 0 frame 1: x 51, y 78
BODY: Banshee_Farmer facing 0 frame 2: x 51, y 79
BODY: Banshee_Farmer facing 0 frame 3: x 51, y 78
BODY: Banshee_Farmer facing 1 frame 0: x 34, y 80
BODY: Banshee_Farmer facing 1 frame 1: x 34, y 81
BODY: Banshee_Farmer facing 1 frame 2: x 34, y 82
BODY: Banshee_Farmer facing 1 frame 3: x 34, y 81
BODY: Banshee_Farmer facing 2 frame 0: x 39, y 88
BODY: Banshee_Farmer facing 2 frame 1: x 39, y 89
BODY: Banshee_Farmer facing 2 frame 2: x 39, y 90
BODY: Banshee_Farmer facing 2 frame 3: x 39, y 89
BODY: Banshee_Farmer facing 3 frame 0: x 56, y 86
BODY: Banshee_Farmer facing 3 frame 1: x 56, y 87
BODY: Banshee_Farmer facing 3 frame 2: x 56, y 88
BODY: Banshee_Farmer facing 3 frame 3: x 56, y 87
EXPLODE: Banshee_Farmer facing 0 frame 0: x 51, y 0
EXPLODE: Banshee_Farmer facing 0 frame 1: x 53, y 19
EXPLODE: Banshee_Farmer facing 0 frame 2: x 55, y 32
EXPLODE: Banshee_Farmer facing 0 frame 3: x 57, y 35
EXPLODE: Banshee_Farmer facing 0 frame 4: x 59, y 24
EXPLODE: Banshee_Farmer facing 0 frame 5: x 57, y -1
EXPLODE: Banshee_Farmer facing 0 frame 6: x 55, y -26
EXPLODE: Banshee_Farmer facing 0 frame 7: x 53, y -51
EXPLODE: Banshee_Farmer facing 0 frame 8: x 51, y -76
EXPLODE: Banshee_Farmer facing 0 frame 9: x 55, y -98
EXPLODE: Banshee_Farmer facing 0 frame 10: x 55, y -98
EXPLODE: Banshee_Farmer facing 0 frame 11: x 55, y -98
EXPLODE: Banshee_Farmer facing 1 frame 0: x 34, y 3
EXPLODE: Banshee_Farmer facing 1 frame 1: x 36, y 22
EXPLODE: Banshee_Farmer facing 1 frame 2: x 38, y 35
EXPLODE: Banshee_Farmer facing 1 frame 3: x 40, y 37
EXPLODE: Banshee_Farmer facing 1 frame 4: x 42, y 26
EXPLODE: Banshee_Farmer facing 1 frame 5: x 40, y 1
EXPLODE: Banshee_Farmer facing 1 frame 6: x 38, y -24
EXPLODE: Banshee_Farmer facing 1 frame 7: x 36, y -49
EXPLODE: Banshee_Farmer facing 1 frame 8: x 34, y -74
EXPLODE: Banshee_Farmer facing 1 frame 9: x 38, y -96
EXPLODE: Banshee_Farmer facing 1 frame 10: x 38, y -96
EXPLODE: Banshee_Farmer facing 1 frame 11: x 38, y -96
EXPLODE: Banshee_Farmer facing 2 frame 0: x 39, y 11
EXPLODE: Banshee_Farmer facing 2 frame 1: x 41, y 30
EXPLODE: Banshee_Farmer facing 2 frame 2: x 43, y 43
EXPLODE: Banshee_Farmer facing 2 frame 3: x 45, y 46
EXPLODE: Banshee_Farmer facing 2 frame 4: x 47, y 35
EXPLODE: Banshee_Farmer facing 2 frame 5: x 45, y 10
EXPLODE: Banshee_Farmer facing 2 frame 6: x 43, y -15
EXPLODE: Banshee_Farmer facing 2 frame 7: x 41, y -40
EXPLODE: Banshee_Farmer facing 2 frame 8: x 39, y -65
EXPLODE: Banshee_Farmer facing 2 frame 9: x 43, y -87
EXPLODE: Banshee_Farmer facing 2 frame 10: x 43, y -87
EXPLODE: Banshee_Farmer facing 2 frame 11: x 43, y -87
EXPLODE: Banshee_Farmer facing 3 frame 0: x 56, y 9
EXPLODE: Banshee_Farmer facing 3 frame 1: x 58, y 28
EXPLODE: Banshee_Farmer facing 3 frame 2: x 60, y 41
EXPLODE: Banshee_Farmer facing 3 frame 3: x 62, y 43
EXPLODE: Banshee_Farmer facing 3 frame 4: x 64, y 32
EXPLODE: Banshee_Farmer facing 3 frame 5: x 62, y 7
EXPLODE: Banshee_Farmer facing 3 frame 6: x 60, y -18
EXPLODE: Banshee_Farmer facing 3 frame 7: x 58, y -43
EXPLODE: Banshee_Farmer facing 3 frame 8: x 56, y -68
EXPLODE: Banshee_Farmer facing 3 frame 9: x 60, y -90
EXPLODE: Banshee_Farmer facing 3 frame 10: x 60, y -90
EXPLODE: Banshee_Farmer facing 3 frame 11: x 60, y -90
BODY: Banshee_Officer facing 0 frame 0: x 51, y 77
BODY: Banshee_Officer facing 0 frame 1: x 51, y 78
BODY: Banshee_Officer facing 0 frame 2: x 51, y 79
BODY: Banshee_Officer facing 0 frame 3: x 51, y 78
BODY: Banshee_Officer facing 1 frame 0: x 34, y 80
BODY: Banshee_Officer facing 1 frame 1: x 34, y 81
BODY: Banshee_Officer facing 1 frame 2: x 34, y 82
BODY: Banshee_Officer facing 1 frame 3: x 34, y 81
BODY: Banshee_Officer facing 2 frame 0: x 39, y 88
BODY: Banshee_Officer facing 2 frame 1: x 39, y 89
BODY: Banshee_Officer facing 2 frame 2: x 39, y 90
BODY: Banshee_Officer facing 2 frame 3: x 39, y 89
BODY: Banshee_Officer facing 3 frame 0: x 56, y 86
BODY: Banshee_Officer facing 3 frame 1: x 56, y 87
BODY: Banshee_Officer facing 3 frame 2: x 56, y 88
BODY: Banshee_Officer facing 3 frame 3: x 56, y 87
EXPLODE: Banshee_Officer facing 0 frame 0: x 51, y 0
EXPLODE: Banshee_Officer facing 0 frame 1: x 53, y 19
EXPLODE: Banshee_Officer facing 0 frame 2: x 55, y 32
EXPLODE: Banshee_Officer facing 0 frame 3: x 57, y 35
EXPLODE: Banshee_Officer facing 0 frame 4: x 59, y 24
EXPLODE: Banshee_Officer facing 0 frame 5: x 57, y -1
EXPLODE: Banshee_Officer facing 0 frame 6: x 55, y -26
EXPLODE: Banshee_Officer facing 0 frame 7: x 53, y -51
EXPLODE: Banshee_Officer facing 0 frame 8: x 51, y -76
EXPLODE: Banshee_Officer facing 0 frame 9: x 55, y -98
EXPLODE: Banshee_Officer facing 0 frame 10: x 55, y -98
