BODY: Wight_Berserker facing 0 frame 0: x 43, y 80
EXPLODE: Skeleton_Spear_Captain facing 1 frame 4: x 50, y 29
EXPLODE: Skeleton_Spear_Captain facing 1 frame 5: x 48, y 4
EXPLODE: Skeleton_Spear_Captain facing 1 frame 6: x 46, y -21
EXPLODE: Skeleton_Spear_Captain facing 1 frame 7: x 44, y -46
EXPLODE: Skeleton_Spear_Captain facing 1 frame 8: x 42, y -71
EXPLODE: Skeleton_Spear_Captain facing 1 frame 9: x 46, y -92
EXPLODE: Skeleton_Spear_Captain facing 1 frame 10: x 46, y -92
EXPLODE: Skeleton_Spear_Captain facing 1 frame 11: x 46, y -92
EXPLODE: Skeleton_Spear_Captain facing 2 frame 0: x 47, y 6
EXPLODE: Skeleton_Spear_Captain facing 2 frame 1: x 49, y 25
EXPLODE: Skeleton_Spear_Captain facing 2 frame 2: x 51, y 38
EXPLODE: Skeleton_Spear_Captain facing 2 frame 3: x 53, y 40
EXPLODE: Skeleton_Spear_Captain facing 2 frame 4: x 55, y 29
EXPLODE: Skeleton_Spear_Captain facing 2 frame 5: x 53, y 4
EXPLODE: Skeleton_Spear_Captain facing 2 frame 6: x 51, y -21
EXPLODE: Skeleton_Spear_Captain facing 2 frame 7: x 49, y -46
EXPLODE: Skeleton_Spear_Captain facing 2 frame 8: x 47, y -71
EXPLODE: Skeleton_Spear_Captain facing 2 frame 9: x 51, y -91
EXPLODE: Skeleton_Spear_Captain facing 2 frame 10: x 51, y -91
EXPLODE: Skeleton_Spear_Captain facing 2 frame 11: x 51, y -91
EXPLODE: Skeleton_Spear_Captain facing 3 frame 0: x 48, y 3
EXPLODE: Skeleton_Spear_Captain facing 3 frame 1: x 50, y 22
EXPLODE: Skeleton_Spear_Captain facing 3 frame 2: x 52, y 35
EXPLODE: Skeleton_Spear_Captain facing 3 frame 3: x 54, y 38
EXPLODE: Skeleton_Spear_Captain facing 3 frame 4: x 56, y 27
EXPLODE: Skeleton_Spear_Captain facing 3 frame 5: x 54, y 2
EXPLODE: Skeleton_Spear_Captain facing 3 frame 6: x 52, y -23
EXPLODE: Skeleton_Spear_Captain facing 3 frame 7: x 50, y -48
EXPLODE: Skeleton_Spear_Captain facing 3 frame 8: x 48, y -73
EXPLODE: Skeleton_Spear_Captain facing 3 frame 9: x 52, y -94
EXPLODE: Skeleton_Spear_Captain facing 3 frame 10: x 52, y -94
EXPLODE: Skeleton_Spear_Captain facing 3 frame 11: x 52, y -94
BODY: Spirit_Berserker facing 0 frame 0: x 43, y 84
BODY: Spirit_Berserker facing 0 frame 1: x 43, y 85
BODY: Spirit_Berserker facing 0 frame 2: x 43, y 86
BODY: Spirit_Berserker facing 0 frame 3: x 43, y 85
BODY: Spirit_Berserker facing 1 frame 0: x 42, y 87
BODY: Spirit_Berserker facing 1 frame 1: x 42, y 88
BODY: Spirit_Berserker facing 1 frame 2: x 42, y 89
BODY: Spirit_Berserker facing 1 frame 3: x 42, y 88
BODY: Spirit_Berserker facing 2 frame 0: x 47, y 87
BODY: Spirit_Berserker facing 2 frame 1: x 47, y 88
BODY: Spirit_Berserker facing 2 frame 2: x 47, y 89
BODY: Spirit_Berserker facing 2 frame 3: x 47, y 88
BODY: Spirit_Berserker facing 3 frame 0: x 48, y 85
BODY: Spirit_Berserker facing 3 frame 1: x 48, y 86
BODY: Spirit_Berserker facing 3 frame 2: x 48, y 87
BODY: Spirit_Berserker facing 3 frame 3: x 48, y 86
EXPLODE: Spirit_Berserker facing 0 frame 0: x 43, y 7
EXPLODE: Spirit_Berserker facing 0 frame 1: x 45, y 26
EXPLODE: Spirit_Berserker facing 0 frame 2: x 47, y 39
EXPLODE: Spirit_Berserker facing 0 frame 3: x 49, y 42
EXPLODE: Spirit_Berserker facing 0 frame 4: x 51, y 31
EXPLODE: Spirit_Berserker facing 0 frame 5: x 49, y 6
EXPLODE: Spirit_Berserker facing 0 frame 6: x 47, y -19
EXPLODE: Spirit_Berserker facing 0 frame 7: x 45, y -44
EXPLODE: Spirit_Berserker facing 0 frame 8: x 43, y -69
EXPLODE: Spirit_Berserker facing 0 frame 9: x 45, y -92
EXPLODE: Spirit_Berserker facing 0 frame 10: x 47, y -94
EXPLODE: Spirit_Berserker facing 0 frame 11: x 47, y -94
EXPLODE: Spirit_Berserker facing 1 frame 0: x 42, y 10
EXPLODE: Spirit_Berserker facing 1 frame 1: x 44, y 29
EXPLODE: Spirit_Berserker facing 1 frame 2: x 46, y 42
EXPLODE: Spirit_Berserker facing 1 frame 3: x 48, y 44
EXPLODE: Spirit_Berserker facing 1 frame 4: x 50, y 33
EXPLODE: Spirit_Berserker facing 1 frame 5: x 48, y 8
EXPLODE: Spirit_Berserker facing 1 frame 6: x 46, y -17
EXPLODE: Spirit_Berserker facing 1 frame 7: x 44, y -42
EXPLODE: Spirit_Berserker facing 1 frame 8: x 42, y -67
EXPLODE: Spirit_Berserker facing 1 frame 9: x 44, y -90
EXPLODE: Spirit_Berserker facing 1 frame 10: x 46, y -92
EXPLODE: Spirit_Berserker facing 1 frame 11: x 46, y -92
EXPLODE: Spirit_Berserker facing 2 frame 0: x 47, y 10
EXPLODE: Spirit_Berserker facing 2 frame 1: x 49, y 29
EXPLODE: Spirit_Berserker facing 2 frame 2: x 51, y 42
EXPLODE: Spirit_Berserker facing 2 frame 3: x 53, y 45
EXPLODE: Spirit_Berserker facing 2 frame 4: x 55, y 34
EXPLODE: Spirit_Berserker facing 2 frame 5: x 53, y 9
EXPLODE: Spirit_Berserker facing 2 frame 6: x 51, y -16
EXPLODE: Spirit_Berserker facing 2 frame 7: x 49, y -41
EXPLODE: Spirit_Berserker facing 2 frame 8: x 47, y -66
EXPLODE: Spirit_Berserker facing 2 frame 9: x 49, y -89
EXPLODE: Spirit_Berserker facing 2 frame 10: x 51, y -91
EXPLODE: Spirit_Berserker facing 2 frame 11: x 51, y -91
EXPLODE: Spirit_Berserker facing 3 frame 0: x 48, y 8
EXPLODE: Spirit_Berserker facing 3 frame 1: x 50, y 27
EXPLODE: Spirit_Berserker facing 3 frame 2: x 52, y 40
EXPLODE: Spirit_Berserker facing 3 frame 3: x 54, y 42
EXPLODE: Spirit_Berserker facing 3 frame 4: x 56, y 31
EXPLODE: Spirit_Berserker facing 3 frame 5: x 54, y 6
EXPLODE: Spirit_Berserker facing 3 frame 6: x 52, y -19
EXPLODE: Spirit_Berserker facing 3 frame 7: x 50, y -44
EXPLODE: Spirit_Berserker facing 3 frame 8: x 48, y -69
EXPLODE: Spirit_Berserker facing 3 frame 9: x 50, y -92
EXPLODE: Spirit_Berserker facing 3 frame 10: x 52, y -94
EXPLODE: Spirit_Berserker facing 3 frame 11: x 52, y -94
BODY: Spirit_Witch facing 0 frame 0: x 43, y 84
BODY: Spirit_Witch facing 0 frame 1: x 43, y 85
BODY: Spirit_Witch facing 0 frame 2: x 43, y 86
BODY: Spirit_Witch facing 0 frame 3: x 43, y 85
BODY: Spirit_Witch facing 1 frame 0: x 42, y 87
BODY: Spirit_Witch facing 1 frame 1: x 42, y 88
BODY: Spirit_Witch facing 1 frame 2: x 42, y 89
BODY: Spirit_Witch facing 1 frame 3: x 42, y 88
BODY: Spirit_Witch facing 2 frame 0: x 47, y 87
BODY: Spirit_Witch facing 2 frame 1: x 47, y 88
BODY: Spirit_Witch facing 2 frame 2: x 47, y 89
BODY: Spirit_Witch facing 2 frame 3: x 47, y 88
BODY: Spirit_Witch facing 3 frame 0: x 48, y 85
BODY: Spirit_Witch facing 3 frame 1: x 48, y 86
BODY: Spirit_Witch facing 3 frame 2: x 48, y 87
BODY: Spirit_Witch facing 3 frame 3: x 48, y 86
EXPLODE: Spirit_Witch facing 0 frame 0: x 43, y 7
EXPLODE: Spirit_Witch facing 0 frame 1: x 45, y 26
EXPLODE: Spirit_Witch facing 0 frame 2: x 47, y 39
EXPLODE: Spirit_Witch facing 0 frame 3: x 49, y 42
EXPLODE: Spirit_Witch facing 0 frame 4: x 51, y 31
EXPLODE: Spirit_Witch facing 0 frame 5: x 49, y 6
EXPLODE: Spirit_Witch facing 0 frame 6: x 47, y -19
EXPLODE: Spirit_Witch facing 0 frame 7: x 45, y -44
EXPLODE: Spirit_Witch facing 0 frame 8: x 43, y -69
EXPLODE: Spirit_Witch facing 0 frame 9: x 45, y -92
EXPLODE: Spirit_Witch facing 0 frame 10: x 47, y -94
EXPLODE: Spirit_Witch facing 0 frame 11: x 47, y -94
EXPLODE: Spirit_Witch facing 1 frame 0: x 42, y 10
EXPLODE: Spirit_Witch facing 1 frame 1: x 44, y 29
EXPLODE: Spirit_Witch facing 1 frame 2: x 46, y 42
EXPLODE: Spirit_Witch facing 1 frame 3: x 48, y 44
EXPLODE: Spirit_Witch facing 1 frame 4: x 50, y 33
EXPLODE: Spirit_Witch facing 1 frame 5: x 48, y 8
EXPLODE: Spirit_Witch facing 1 frame 6: x 46, y -17
EXPLODE: Spirit_Witch facing 1 frame 7: x 44, y -42
EXPLODE: Spirit_Witch facing 1 frame 8: x 42, y -67
EXPLODE: Spirit_Witch facing 1 frame 9: x 44, y -90
EXPLODE: Spirit_Witch facing 1 frame 10: x 46, y -92
EXPLODE: Spirit_Witch facing 1 frame 11: x 46, y -92
EXPLODE: Spirit_Witch facing 2 frame 0: x 47, y 10
EXPLODE: Spirit_Witch facing 2 frame 1: x 49, y 29
EXPLODE: Spirit_Witch facing 2 frame 2: x 51, y 42
EXPLODE: Spirit_Witch facing 2 frame 3: x 53, y 45
EXPLODE: Spirit_Witch facing 2 frame 4: x 55, y 34
EXPLODE: Spirit_Witch facing 2 frame 5: x 53, y 9
EXPLODE: Spirit_Witch facing 2 frame 6: x 51, y -16
EXPLODE: Spirit_Witch facing 2 frame 7: x 49, y -41
EXPLODE: Spirit_Witch facing 2 frame 8: x 47, y -66
EXPLODE: Spirit_Witch facing 2 frame 9: x 49, y -89
EXPLODE: Spirit_Witch facing 2 frame 10: x 51, y -91
EXPLODE: Spirit_Witch facing 2 frame 11: x 51, y -91
EXPLODE: Spirit_Witch facing 3 frame 0: x 48, y 8
EXPLODE: Spirit_Witch facing 3 frame 1: x 50, y 27
EXPLODE: Spirit_Witch facing 3 frame 2: x 52, y 40
EXPLODE: Spirit_Witch facing 3 frame 3: x 54, y 42
EXPLODE: Spirit_Witch facing 3 frame 4: x 56, y 31
EXPLODE: Spirit_Witch facing 3 frame 5: x 54, y 6
EXPLODE: Spirit_Witch facing 3 frame 6: x 52, y -19
EXPLODE: Spirit_Witch facing 3 frame 7: x 50, y -44
EXPLODE: Spirit_Witch facing 3 frame 8: x 48, y -69
EXPLODE: Spirit_Witch facing 3 frame 9: x 50, y -92
EXPLODE: Spirit_Witch facing 3 frame 10: x 52, y -94
EXPLODE: Spirit_Witch facing 3 frame 11: x 52, y -94
BODY: Spirit_Scout facing 0 frame 0: x 43, y 84
BODY: Spirit_Scout facing 0 frame 1: x 43, y 85
BODY: Spirit_Scout facing 0 frame 2: x 43, y 86
BODY: Spirit_Scout facing 0 frame 3: x 43, y 85
BODY: Spirit_Scout facing 1 frame 0: x 42, y 87
BODY: Spirit_Scout facing 1 frame 1: x 42, y 88
BODY: Spirit_Scout facing 1 frame 2: x 42, y 89
BODY: Spirit_Scout facing 1 frame 3: x 42, y 88
BODY: Spirit_Scout facing 2 frame 0: x 47, y 87
BODY: Spirit_Scout facing 2 frame 1: x 47, y 88
BODY: Spirit_Scout facing 2 frame 2: x 47, y 89
BODY: Spirit_Scout facing 2 frame 3: x 47, y 88
BODY: Spirit_Scout facing 3 frame 0: x 48, y 85
BODY: Spirit_Scout facing 3 frame 1: x 48, y 86
BODY: Spirit_Scout facing 3 frame 2: x 48, y 87
BODY: Spirit_Scout facing 3 frame 3: x 48, y 86
EXPLODE: Spirit_Scout facing 0 frame 0: x 43, y 7
EXPLODE: Spirit_Scout facing 0 frame 1: x 45, y 26
EXPLODE: Spirit_Scout facing 0 frame 2: x 47, y 39
EXPLODE: Spirit_Scout facing 0 frame 3: x 49, y 42
EXPLODE: Spirit_Scout facing 0 frame 4: x 51, y 31
EXPLODE: Spirit_Scout facing 0 frame 5: x 49, y 6
EXPLODE: Spirit_Scout facing 0 frame 6: x 47, y -19
EXPLODE: Spirit_Scout facing 0 frame 7: x 45, y -44
EXPLODE: Spirit_Scout facing 0 frame 8: x 43, y -69
EXPLODE: Spirit_Scout facing 0 frame 9: x 45, y -92
EXPLODE: Spirit_Scout facing 0 frame 10: x 47, y -94
EXPLODE: Spirit_Scout facing 0 frame 11: x 47, y -94
EXPLODE: Spirit_Scout facing 1 frame 0: x 42, y 10
EXPLODE: Spirit_Scout facing 1 frame 1: x 44, y 29
EXPLODE: Spirit_Scout facing 1 frame 2: x 46, y 42
EXPLODE: Spirit_Scout facing 1 frame 3: x 48, y 44
EXPLODE: Spirit_Scout facing 1 frame 4: x 50, y 33
EXPLODE: Spirit_Scout facing 1 frame 5: x 48, y 8
EXPLODE: Spirit_Scout facing 1 frame 6: x 46, y -17
EXPLODE: Spirit_Scout facing 1 frame 7: x 44, y -42
EXPLODE: Spirit_Scout facing 1 frame 8: x 42, y -67
EXPLODE: Spirit_Scout facing 1 frame 9: x 44, y -90
EXPLODE: Spirit_Scout facing 1 frame 10: x 46, y -92
EXPLODE: Spirit_Scout facing 1 frame 11: x 46, y -92
EXPLODE: Spirit_Scout facing 2 frame 0: x 47, y 10
EXPLODE: Spirit_Scout facing 2 frame 1: x 49, y 29
EXPLODE: Spirit_Scout facing 2 frame 2: x 51, y 42
EXPLODE: Spirit_Scout facing 2 frame 3: x 53, y 45
EXPLODE: Spirit_Scout facing 2 frame 4: x 55, y 34
EXPLODE: Spirit_Scout facing 2 frame 5: x 53, y 9
EXPLODE: Spirit_Scout facing 2 frame 6: x 51, y -16
EXPLODE: Spirit_Scout facing 2 frame 7: x 49, y -41
EXPLODE: Spirit_Scout facing 2 frame 8: x 47, y -66
EXPLODE: Spirit_Scout facing 2 frame 9: x 49, y -89
EXPLODE: Spirit_Scout facing 2 frame 10: x 51, y -91
EXPLODE: Spirit_Scout facing 2 frame 11: x 51, y -91
EXPLODE: Spirit_Scout facing 3 frame 0: x 48, y 8
EXPLODE: Spirit_Scout facing 3 frame 1: x 50, y 27
EXPLODE: Spirit_Scout facing 3 frame 2: x 52, y 40
EXPLODE: Spirit_Scout facing 3 frame 3: x 54, y 42
EXPLODE: Spirit_Scout facing 3 frame 4: x 56, y 31
EXPLODE: Spirit_Scout facing 3 frame 5: x 54, y 6
EXPLODE: Spirit_Scout facing 3 frame 6: x 52, y -19
EXPLODE: Spirit_Scout facing 3 frame 7: x 50, y -44
EXPLODE: Spirit_Scout facing 3 frame 8: x 48, y -69
EXPLODE: Spirit_Scout facing 3 frame 9: x 50, y -92
EXPLODE: Spirit_Scout facing 3 frame 10: x 52, y -94
EXPLODE: Spirit_Scout facing 3 frame 11: x 52, y -94
BODY: Spirit_Captain facing 0 frame 0: x 43, y 84
BODY: Spirit_Captain facing 0 frame 1: x 43, y 85
BODY: Spirit_Captain facing 0 frame 2: x 43, y 86
BODY: Spirit_Captain facing 0 frame 3: x 43, y 85
BODY: Spirit_Captain facing 1 frame 0: x 42, y 87
BODY: Spirit_Captain facing 1 frame 1: x 42, y 88
BODY: Spirit_Captain facing 1 frame 2: x 42, y 89
BODY: Spirit_Captain facing 1 frame 3: x 42, y 88
BODY: Spirit_Captain facing 2 frame 0: x 47, y 87
BODY: Spirit_Captain facing 2 frame 1: x 47, y 88
BODY: Spirit_Captain facing 2 frame 2: x 47, y 89
BODY: Spirit_Captain facing 2 frame 3: x 47, y 88
BODY: Spirit_Captain facing 3 frame 0: x 48, y 85
BODY: Spirit_Captain facing 3 frame 1: x 48, y 86
BODY: Spirit_Captain facing 3 frame 2: x 48, y 87
BODY: Spirit_Captain facing 3 frame 3: x 48, y 86
EXPLODE: Spirit_Captain facing 0 frame 0: x 43, y 7
EXPLODE: Spirit_Captain facing 0 frame 1: x 45, y 26
EXPLODE: Spirit_Captain facing 0 frame 2: x 47, y 39
EXPLODE: Spirit_Captain facing 0 frame 3: x 49, y 42
EXPLODE: Spirit_Captain facing 0 frame 4: x 51, y 31
EXPLODE: Spirit_Captain facing 0 frame 5: x 49, y 6
EXPLODE: Spirit_Captain facing 0 frame 6: x 47, y -19
EXPLODE: Spirit_Captain facing 0 frame 7: x 45, y -44
EXPLODE: Spirit_Captain facing 0 frame 8: x 43, y -69
EXPLODE: Spirit_Captain facing 0 frame 9: x 45, y -92
EXPLODE: Spirit_Captain facing 0 frame 10: x 47, y -94
EXPLODE: Spirit_Captain facing 0 frame 11: x 47, y -94
EXPLODE: Spirit_Captain facing 1 frame 0: x 42, y 10
EXPLODE: Spirit_Captain facing 1 frame 1: x 44, y 29
EXPLODE: Spirit_Captain facing 1 frame 2: x 46, y 42
EXPLODE: Spirit_Captain facing 1 frame 3: x 48, y 44
EXPLODE: Spirit_Captain facing 1 frame 4: x 50, y 33
EXPLODE: Spirit_Captain facing 1 frame 5: x 48, y 8
EXPLODE: Spirit_Captain facing 1 frame 6: x 46, y -17
EXPLODE: Spirit_Captain facing 1 frame 7: x 44, y -42
EXPLODE: Spirit_Captain facing 1 frame 8: x 42, y -67
EXPLODE: Spirit_Captain facing 1 frame 9: x 44, y -90
EXPLODE: Spirit_Captain facing 1 frame 10: x 46, y -92
EXPLODE: Spirit_Captain facing 1 frame 11: x 46, y -92
EXPLODE: Spirit_Captain facing 2 frame 0: x 47, y 10
EXPLODE: Spirit_Captain facing 2 frame 1: x 49, y 29
EXPLODE: Spirit_Captain facing 2 frame 2: x 51, y 42
EXPLODE: Spirit_Captain facing 2 frame 3: x 53, y 45
EXPLODE: Spirit_Captain facing 2 frame 4: x 55, y 34
EXPLODE: Spirit_Captain facing 2 frame 5: x 53, y 9
EXPLODE: Spirit_Captain facing 2 frame 6: x 51, y -16
EXPLODE: Spirit_Captain facing 2 frame 7: x 49, y -41
EXPLODE: Spirit_Captain facing 2 frame 8: x 47, y -66
EXPLODE: Spirit_Captain facing 2 frame 9: x 49, y -89
EXPLODE: Spirit_Captain facing 2 frame 10: x 51, y -91
EXPLODE: Spirit_Captain facing 2 frame 11: x 51, y -91
EXPLODE: Spirit_Captain facing 3 frame 0: x 48, y 8
EXPLODE: Spirit_Captain facing 3 frame 1: x 50, y 27
EXPLODE: Spirit_Captain facing 3 frame 2: x 52, y 40
EXPLODE: Spirit_Captain facing 3 frame 3: x 54, y 42
EXPLODE: Spirit_Captain facing 3 frame 4: x 56, y 31
EXPLODE: Spirit_Captain facing 3 frame 5: x 54, y 6
EXPLODE: Spirit_Captain facing 3 frame 6: x 52, y -19
EXPLODE: Spirit_Captain facing 3 frame 7: x 50, y -44
EXPLODE: Spirit_Captain facing 3 frame 8: x 48, y -69
EXPLODE: Spirit_Captain facing 3 frame 9: x 50, y -92
EXPLODE: Spirit_Captain facing 3 frame 10: x 52, y -94
EXPLODE: Spirit_Captain facing 3 frame 11: x 52, y -94
BODY: Cinder_Berserker facing 0 frame 0: x 43, y 78
BODY: Cinder_Berserker facing 0 frame 1: x 43, y 78
BODY: Cinder_Berserker facing 0 frame 2: x 43, y 78
BODY: Cinder_Berserker facing 0 frame 3: x 43, y 78
BODY: Cinder_Berserker facing 1 frame 0: x 42, y 81
BODY: Cinder_Berserker facing 1 frame 1: x 42, y 81
BODY: Cinder_Berserker facing 1 frame 2: x 42, y 81
BODY: Cinder_Berserker facing 1 frame 3: x 42, y 81
BODY: Cinder_Berserker facing 2 frame 0: x 47, y 81
BODY: Cinder_Berserker facing 2 frame 1: x 47, y 81
BODY: Cinder_Berserker facing 2 frame 2: x 47, y 81
BODY: Cinder_Berserker facing 2 frame 3: x 47, y 81
BODY: Cinder_Berserker facing 3 frame 0: x 48, y 79
BODY: Cinder_Berserker facing 3 frame 1: x 48, y 79
BODY: Cinder_Berserker facing 3 frame 2: x 48, y 79
BODY: Cinder_Berserker facing 3 frame 3: x 48, y 79
EXPLODE: Cinder_Berserker facing 0 frame 0: x 43, y 1
EXPLODE: Cinder_Berserker facing 0 frame 1: x 45, y 20
EXPLODE: Cinder_Berserker facing 0 frame 2: x 47, y 33
EXPLODE: Cinder_Berserker facing 0 frame 3: x 49, y 36
EXPLODE: Cinder_Berserker facing 0 frame 4: x 51, y 25
EXPLODE: Cinder_Berserker facing 0 frame 5: x 49, y 0
EXPLODE: Cinder_Berserker facing 0 frame 6: x 47, y -25
EXPLODE: Cinder_Berserker facing 0 frame 7: x 45, y -50
EXPLODE: Cinder_Berserker facing 0 frame 8: x 43, y -75
EXPLODE: Cinder_Berserker facing 0 frame 9: x 47, y -94
EXPLODE: Cinder_Berserker facing 0 frame 10: x 47, y -94
EXPLODE: Cinder_Berserker facing 0 frame 11: x 47, y -94
EXPLODE: Cinder_Berserker facing 1 frame 0: x 42, y 4
EXPLODE: Cinder_Berserker facing 1 frame 1: x 44, y 23
EXPLODE: Cinder_Berserker facing 1 frame 2: x 46, y 36
EXPLODE: Cinder_Berserker facing 1 frame 3: x 48, y 38
EXPLODE: Cinder_Berserker facing 1 frame 4: x 50, y 27
EXPLODE: Cinder_Berserker facing 1 frame 5: x 48, y 2
EXPLODE: Cinder_Berserker facing 1 frame 6: x 46, y -23
EXPLODE: Cinder_Berserker facing 1 frame 7: x 44, y -48
EXPLODE: Cinder_Berserker facing 1 frame 8: x 42, y -73
EXPLODE: Cinder_Berserker facing 1 frame 9: x 46, y -92
EXPLODE: Cinder_Berserker facing 1 frame 10: x 46, y -92
EXPLODE: Cinder_Berserker facing 1 frame 11: x 46, y -92
EXPLODE: Cinder_Berserker facing 2 frame 0: x 47, y 4
EXPLODE: Cinder_Berserker facing 2 frame 1: x 49, y 23
EXPLODE: Cinder_Berserker facing 2 frame 2: x 51, y 36
EXPLODE: Cinder_Berserker facing 2 frame 3: x 53, y 39
EXPLODE: Cinder_Berserker facing 2 frame 4: x 55, y 28
EXPLODE: Cinder_Berserker facing 2 frame 5: x 53, y 3
EXPLODE: Cinder_Berserker facing 2 frame 6: x 51, y -22
EXPLODE: Cinder_Berserker facing 2 frame 7: x 49, y -47
EXPLODE: Cinder_Berserker facing 2 frame 8: x 47, y -72
EXPLODE: Cinder_Berserker facing 2 frame 9: x 51, y -91
EXPLODE: Cinder_Berserker facing 2 frame 10: x 51, y -91
EXPLODE: Cinder_Berserker facing 2 frame 11: x 51, y -91
EXPLODE: Cinder_Berserker facing 3 frame 0: x 48, y 2
EXPLODE: Cinder_Berserker facing 3 frame 1: x 50, y 21
EXPLODE: Cinder_Berserker facing 3 frame 2: x 52, y 34
EXPLODE: Cinder_Berserker facing 3 frame 3: x 54, y 36
EXPLODE: Cinder_Berserker facing 3 frame 4: x 56, y 25
EXPLODE: Cinder_Berserker facing 3 frame 5: x 54, y 0
EXPLODE: Cinder_Berserker facing 3 frame 6: x 52, y -25
EXPLODE: Cinder_Berserker facing 3 frame 7: x 50, y -50
EXPLODE: Cinder_Berserker facing 3 frame 8: x 48, y -75
EXPLODE: Cinder_Berserker facing 3 frame 9: x 52, y -94
EXPLODE: Cinder_Berserker facing 3 frame 10: x 52, y -94
EXPLODE: Cinder_Berserker facing 3 frame 11: x 52, y -94
BODY: Cinder_Witch facing 0 frame 0: x 43, y 78
BODY: Cinder_Witch facing 0 frame 1: x 43, y 78
BODY: Cinder_Witch facing 0 frame 2: x 43, y 78
BODY: Cinder_Witch facing 0 frame 3: x 43, y 78
BODY: Cinder_Witch facing 1 frame 0: x 42, y 81
BODY: Cinder_Witch facing 1 frame 1: x 42, y 81
BODY: Cinder_Witch facing 1 frame 2: x 42, y 81
BODY: Cinder_Witch facing 1 frame 3: x 42, y 81
BODY: Cinder_Witch facing 2 frame 0: x 47, y 81
BODY: Cinder_Witch facing 2 frame 1: x 47, y 81
BODY: Cinder_Witch facing 2 frame 2: x 47, y 81
BODY: Cinder_Witch facing 2 frame 3: x 47, y 81
BODY: Cinder_Witch facing 3 frame 0: x 48, y 79
BODY: Cinder_Witch facing 3 frame 1: x 48, y 79
BODY: Cinder_Witch facing 3 frame 2: x 48, y 79
BODY: Cinder_Witch facing 3 frame 3: x 48, y 79
EXPLODE: Cinder_Witch facing 0 frame 0: x 43, y 1
EXPLODE: Cinder_Witch facing 0 frame 1: x 45, y 20
EXPLODE: Cinder_Witch facing 0 frame 2: x 47, y 33
EXPLODE: Cinder_Witch facing 0 frame 3: x 49, y 36
EXPLODE: Cinder_Witch facing 0 frame 4: x 51, y 25
EXPLODE: Cinder_Witch facing 0 frame 5: x 49, y 0
EXPLODE: Cinder_Witch facing 0 frame 6: x 47, y -25
EXPLODE: Cinder_Witch facing 0 frame 7: x 45, y -50
EXPLODE: Cinder_Witch facing 0 frame 8: x 43, y -75
EXPLODE: Cinder_Witch facing 0 frame 9: x 47, y -94
EXPLODE: Cinder_Witch facing 0 frame 10: x 47, y -94
EXPLODE: Cinder_Witch facing 0 frame 11: x 47, y -94
EXPLODE: Cinder_Witch facing 1 frame 0: x 42, y 4
EXPLODE: Cinder_Witch facing 1 frame 1: x 44, y 23
EXPLODE: Cinder_Witch facing 1 frame 2: x 46, y 36
EXPLODE: Cinder_Witch facing 1 frame 3: x 48, y 38
EXPLODE: Cinder_Witch facing 1 frame 4: x 50, y 27
EXPLODE: Cinder_Witch facing 1 frame 5: x 48, y 2
EXPLODE: Cinder_Witch facing 1 frame 6: x 46, y -23
EXPLODE: Cinder_Witch facing 1 frame 7: x 44, y -48
EXPLODE: Cinder_Witch facing 1 frame 8: x 42, y -73
EXPLODE: Cinder_Witch facing 1 frame 9: x 46, y -92
EXPLODE: Cinder_Witch facing 1 frame 10: x 46, y -92
EXPLODE: Cinder_Witch facing 1 frame 11: x 46, y -92
EXPLODE: Cinder_Witch facing 2 frame 0: x 47, y 4
EXPLODE: Cinder_Witch facing 2 frame 1: x 49, y 23
EXPLODE: Cinder_Witch facing 2 frame 2: x 51, y 36
EXPLODE: Cinder_Witch facing 2 frame 3: x 53, y 39
EXPLODE: Cinder_Witch facing 2 frame 4: x 55, y 28
EXPLODE: Cinder_Witch facing 2 frame 5: x 53, y 3
EXPLODE: Cinder_Witch facing 2 frame 6: x 51, y -22
EXPLODE: Cinder_Witch facing 2 frame 7: x 49, y -47
EXPLODE: Cinder_Witch facing 2 frame 8: x 47, y -72
EXPLODE: Cinder_Witch facing 2 frame 9: x 51, y -91
EXPLODE: Cinder_Witch facing 2 frame 10: x 51, y -91
EXPLODE: Cinder_Witch facing 2 frame 11: x 51, y -91
EXPLODE: Cinder_Witch facing 3 frame 0: x 48, y 2
EXPLODE: Cinder_Witch facing 3 frame 1: x 50, y 21
EXPLODE: Cinder_Witch facing 3 frame 2: x 52, y 34
EXPLODE: Cinder_Witch facing 3 frame 3: x 54, y 36
EXPLODE: Cinder_Witch facing 3 frame 4: x 56, y 25
EXPLODE: Cinder_Witch facing 3 frame 5: x 54, y 0
EXPLODE: Cinder_Witch facing 3 frame 6: x 52, y -25
EXPLODE: Cinder_Witch facing 3 frame 7: x 50, y -50
EXPLODE: Cinder_Witch facing 3 frame 8: x 48, y -75
EXPLODE: Cinder_Witch facing 3 frame 9: x 52, y -94
EXPLODE: Cinder_Witch facing 3 frame 10: x 52, y -94
EXPLODE: Cinder_Witch facing 3 frame 11: x 52, y -94
BODY: Cinder_Scout facing 0 frame 0: x 43, y 78
BODY: Cinder_Scout facing 0 frame 1: x 43, y 78
BODY: Cinder_Scout facing 0 frame 2: x 43, y 78
BODY: Cinder_Scout facing 0 frame 3: x 43, y 78
BODY: Cinder_Scout facing 1 frame 0: x 42, y 81
BODY: Cinder_Scout facing 1 frame 1: x 42, y 81
BODY: Cinder_Scout facing 1 frame 2: x 42, y 81
BODY: Cinder_Scout facing 1 frame 3: x 42, y 81
